Case_No,Prompt,LLM,Ground Truth,Prediction
1,P1,GPT-4o,1,1
2,P1,GPT-4o,1,1
3,P1,GPT-4o,1,1
4,P1,GPT-4o,1,1
5,P1,GPT-4o,1,1
6,P1,GPT-4o,0,0
7,P1,GPT-4o,0,0
8,P1,GPT-4o,0,0
9,P1,GPT-4o,0,0
10,P1,GPT-4o,0,0
11,P1,GPT-4o,1,1
12,P1,GPT-4o,1,1
13,P1,GPT-4o,1,1
14,P1,GPT-4o,1,1
15,P1,GPT-4o,1,1
16,P1,GPT-4o,0,0
17,P1,GPT-4o,0,0
18,P1,GPT-4o,0,1
19,P1,GPT-4o,0,1
20,P1,GPT-4o,0,0
21,P1,GPT-4o,1,1
22,P1,GPT-4o,1,1
23,P1,GPT-4o,1,1
24,P1,GPT-4o,1,1
25,P1,GPT-4o,1,1
26,P1,GPT-4o,0,0
27,P1,GPT-4o,0,0
28,P1,GPT-4o,0,0
29,P1,GPT-4o,0,0
30,P1,GPT-4o,0,0
1,P1,Claude-3,1,1
2,P1,Claude-3,1,1
3,P1,Claude-3,1,1
4,P1,Claude-3,1,1
5,P1,Claude-3,1,1
6,P1,Claude-3,0,0
7,P1,Claude-3,0,1
8,P1,Claude-3,0,1
9,P1,Claude-3,0,1
10,P1,Claude-3,0,1
11,P1,Claude-3,1,1
12,P1,Claude-3,1,0
13,P1,Claude-3,1,1
14,P1,Claude-3,1,0
15,P1,Claude-3,1,1
16,P1,Claude-3,0,0
17,P1,Claude-3,0,0
18,P1,Claude-3,0,0
19,P1,Claude-3,0,0
20,P1,Claude-3,0,0
21,P1,Claude-3,1,1
22,P1,Claude-3,1,1
23,P1,Claude-3,1,1
24,P1,Claude-3,1,0
25,P1,Claude-3,1,1
26,P1,Claude-3,0,0
27,P1,Claude-3,0,1
28,P1,Claude-3,0,1
29,P1,Claude-3,0,1
30,P1,Claude-3,0,0
1,P1,Gemini-2,1,1
2,P1,Gemini-2,1,1
3,P1,Gemini-2,1,1
4,P1,Gemini-2,1,1
5,P1,Gemini-2,1,1
6,P1,Gemini-2,0,1
7,P1,Gemini-2,0,1
8,P1,Gemini-2,0,1
9,P1,Gemini-2,0,1
10,P1,Gemini-2,0,1
11,P1,Gemini-2,1,1
12,P1,Gemini-2,1,1
13,P1,Gemini-2,1,1
14,P1,Gemini-2,1,1
15,P1,Gemini-2,1,0
16,P1,Gemini-2,0,0
17,P1,Gemini-2,0,0
18,P1,Gemini-2,0,0
19,P1,Gemini-2,0,0
20,P1,Gemini-2,0,1
21,P1,Gemini-2,1,1
22,P1,Gemini-2,1,1
23,P1,Gemini-2,1,1
24,P1,Gemini-2,1,0
25,P1,Gemini-2,1,1
26,P1,Gemini-2,0,0
27,P1,Gemini-2,0,1
28,P1,Gemini-2,0,1
29,P1,Gemini-2,0,0
30,P1,Gemini-2,0,0
1,P1,DeepSeek,1,1
2,P1,DeepSeek,1,1
3,P1,DeepSeek,1,1
4,P1,DeepSeek,1,1
5,P1,DeepSeek,1,1
6,P1,DeepSeek,0,0
7,P1,DeepSeek,0,0
8,P1,DeepSeek,0,1
9,P1,DeepSeek,0,1
10,P1,DeepSeek,0,0
11,P1,DeepSeek,1,1
12,P1,DeepSeek,1,1
13,P1,DeepSeek,1,1
14,P1,DeepSeek,1,1
15,P1,DeepSeek,1,1
16,P1,DeepSeek,0,1
17,P1,DeepSeek,0,0
18,P1,DeepSeek,0,1
19,P1,DeepSeek,0,1
20,P1,DeepSeek,0,1
21,P1,DeepSeek,1,1
22,P1,DeepSeek,1,1
23,P1,DeepSeek,1,1
24,P1,DeepSeek,1,1
25,P1,DeepSeek,1,1
26,P1,DeepSeek,0,0
27,P1,DeepSeek,0,0
28,P1,DeepSeek,0,1
29,P1,DeepSeek,0,1
30,P1,DeepSeek,0,1
1,P2,GPT-4o,1,1
2,P2,GPT-4o,1,1
3,P2,GPT-4o,1,1
4,P2,GPT-4o,1,1
5,P2,GPT-4o,1,1
6,P2,GPT-4o,0,0
7,P2,GPT-4o,0,0
8,P2,GPT-4o,0,0
9,P2,GPT-4o,0,1
10,P2,GPT-4o,0,1
11,P2,GPT-4o,1,1
12,P2,GPT-4o,1,1
13,P2,GPT-4o,1,1
14,P2,GPT-4o,1,1
15,P2,GPT-4o,1,1
16,P2,GPT-4o,0,0
17,P2,GPT-4o,0,0
18,P2,GPT-4o,0,1
19,P2,GPT-4o,0,0
20,P2,GPT-4o,0,0
21,P2,GPT-4o,1,1
22,P2,GPT-4o,1,1
23,P2,GPT-4o,1,1
24,P2,GPT-4o,1,1
25,P2,GPT-4o,1,1
26,P2,GPT-4o,0,0
27,P2,GPT-4o,0,1
28,P2,GPT-4o,0,1
29,P2,GPT-4o,0,0
30,P2,GPT-4o,0,0
1,P2,Claude-3,1,0
2,P2,Claude-3,1,1
3,P2,Claude-3,1,1
4,P2,Claude-3,1,1
5,P2,Claude-3,1,1
6,P2,Claude-3,0,1
7,P2,Claude-3,0,1
8,P2,Claude-3,0,1
9,P2,Claude-3,0,1
10,P2,Claude-3,0,1
11,P2,Claude-3,1,1
12,P2,Claude-3,1,0
13,P2,Claude-3,1,1
14,P2,Claude-3,1,0
15,P2,Claude-3,1,1
16,P2,Claude-3,0,0
17,P2,Claude-3,0,0
18,P2,Claude-3,0,0
19,P2,Claude-3,0,0
20,P2,Claude-3,0,1
21,P2,Claude-3,1,1
22,P2,Claude-3,1,1
23,P2,Claude-3,1,1
24,P2,Claude-3,1,0
25,P2,Claude-3,1,1
26,P2,Claude-3,0,0
27,P2,Claude-3,0,1
28,P2,Claude-3,0,1
29,P2,Claude-3,0,1
30,P2,Claude-3,0,0
1,P2,Gemini-2,1,1
2,P2,Gemini-2,1,1
3,P2,Gemini-2,1,1
4,P2,Gemini-2,1,1
5,P2,Gemini-2,1,1
6,P2,Gemini-2,0,0
7,P2,Gemini-2,0,1
8,P2,Gemini-2,0,1
9,P2,Gemini-2,0,1
10,P2,Gemini-2,0,1
11,P2,Gemini-2,1,1
12,P2,Gemini-2,1,1
13,P2,Gemini-2,1,0
14,P2,Gemini-2,1,1
15,P2,Gemini-2,1,0
16,P2,Gemini-2,0,1
17,P2,Gemini-2,0,0
18,P2,Gemini-2,0,1
19,P2,Gemini-2,0,1
20,P2,Gemini-2,0,1
21,P2,Gemini-2,1,1
22,P2,Gemini-2,1,1
23,P2,Gemini-2,1,1
24,P2,Gemini-2,1,0
25,P2,Gemini-2,1,1
26,P2,Gemini-2,0,0
27,P2,Gemini-2,0,1
28,P2,Gemini-2,0,0
29,P2,Gemini-2,0,1
30,P2,Gemini-2,0,1
1,P2,DeepSeek,1,1
2,P2,DeepSeek,1,1
3,P2,DeepSeek,1,1
4,P2,DeepSeek,1,1
5,P2,DeepSeek,1,1
6,P2,DeepSeek,0,1
7,P2,DeepSeek,0,0
8,P2,DeepSeek,0,1
9,P2,DeepSeek,0,1
10,P2,DeepSeek,0,0
11,P2,DeepSeek,1,1
12,P2,DeepSeek,1,1
13,P2,DeepSeek,1,1
14,P2,DeepSeek,1,1
15,P2,DeepSeek,1,1
16,P2,DeepSeek,0,0
17,P2,DeepSeek,0,0
18,P2,DeepSeek,0,1
19,P2,DeepSeek,0,1
20,P2,DeepSeek,0,0
21,P2,DeepSeek,1,1
22,P2,DeepSeek,1,1
23,P2,DeepSeek,1,1
24,P2,DeepSeek,1,1
25,P2,DeepSeek,1,1
26,P2,DeepSeek,0,1
27,P2,DeepSeek,0,1
28,P2,DeepSeek,0,1
29,P2,DeepSeek,0,1
30,P2,DeepSeek,0,1
1,P3,GPT-4o,1,1
2,P3,GPT-4o,1,1
3,P3,GPT-4o,1,1
4,P3,GPT-4o,1,1
5,P3,GPT-4o,1,1
6,P3,GPT-4o,0,0
7,P3,GPT-4o,0,1
