Case_No,Prompt,LLM,Ground Truth,Prediction
41,P1,GPT-4o,1,1
42,P1,GPT-4o,1,1
43,P1,GPT-4o,1,1
44,P1,GPT-4o,1,1
45,P1,GPT-4o,1,1
46,P1,GPT-4o,1,1
47,P1,GPT-4o,1,1
48,P1,GPT-4o,0,0
49,P1,GPT-4o,0,0
50,P1,GPT-4o,0,0
51,P1,GPT-4o,1,1
52,P1,GPT-4o,1,1
53,P1,GPT-4o,1,1
54,P1,GPT-4o,1,1
55,P1,GPT-4o,1,1
56,P1,GPT-4o,1,1
57,P1,GPT-4o,1,1
58,P1,GPT-4o,0,0
59,P1,GPT-4o,0,0
60,P1,GPT-4o,0,0
41,P1,Claude-3,1,1
42,P1,Claude-3,1,1
43,P1,Claude-3,1,1
44,P1,Claude-3,1,1
45,P1,Claude-3,1,1
46,P1,Claude-3,1,1
47,P1,Claude-3,1,1
48,P1,Claude-3,0,0
49,P1,Claude-3,0,0
50,P1,Claude-3,0,0
51,P1,Claude-3,1,1
52,P1,Claude-3,1,1
53,P1,Claude-3,1,1
54,P1,Claude-3,1,1
55,P1,Claude-3,1,1
56,P1,Claude-3,1,1
57,P1,Claude-3,1,1
58,P1,Claude-3,0,0
59,P1,Claude-3,0,0
60,P1,Claude-3,0,0
41,P1,Gemini-2,1,1
42,P1,Gemini-2,1,1
43,P1,Gemini-2,1,1
44,P1,Gemini-2,1,1
45,P1,Gemini-2,1,1
46,P1,Gemini-2,1,1
47,P1,Gemini-2,1,1
48,P1,Gemini-2,0,0
49,P1,Gemini-2,0,0
50,P1,Gemini-2,0,0
51,P1,Gemini-2,1,1
52,P1,Gemini-2,1,1
53,P1,Gemini-2,1,1
54,P1,Gemini-2,1,1
55,P1,Gemini-2,1,1
56,P1,Gemini-2,1,1
57,P1,Gemini-2,1,1
58,P1,Gemini-2,0,0
59,P1,Gemini-2,0,0
60,P1,Gemini-2,0,0
41,P1,DeepSeek,1,1
42,P1,DeepSeek,1,1
43,P1,DeepSeek,1,1
44,P1,DeepSeek,1,1
45,P1,DeepSeek,1,1
46,P1,DeepSeek,1,1
47,P1,DeepSeek,1,1
48,P1,DeepSeek,0,0
49,P1,DeepSeek,0,1
50,P1,DeepSeek,0,0
51,P1,DeepSeek,1,1
52,P1,DeepSeek,1,1
53,P1,DeepSeek,1,1
54,P1,DeepSeek,1,1
55,P1,DeepSeek,1,1
56,P1,DeepSeek,1,1
57,P1,DeepSeek,1,1
58,P1,DeepSeek,0,0
59,P1,DeepSeek,0,1
60,P1,DeepSeek,0,0
41,P2,GPT-4o,1,1
42,P2,GPT-4o,1,1
43,P2,GPT-4o,1,1
44,P2,GPT-4o,1,1
45,P2,GPT-4o,1,1
46,P2,GPT-4o,1,1
47,P2,GPT-4o,1,1
48,P2,GPT-4o,0,0
49,P2,GPT-4o,0,0
50,P2,GPT-4o,0,0
51,P2,GPT-4o,1,1
52,P2,GPT-4o,1,1
53,P2,GPT-4o,1,1
54,P2,GPT-4o,1,1
55,P2,GPT-4o,1,1
56,P2,GPT-4o,1,1
57,P2,GPT-4o,1,1
58,P2,GPT-4o,0,0
59,P2,GPT-4o,0,0
60,P2,GPT-4o,0,0
41,P2,Claude-3,1,1
42,P2,Claude-3,1,1
43,P2,Claude-3,1,1
44,P2,Claude-3,1,1
45,P2,Claude-3,1,1
46,P2,Claude-3,1,0
47,P2,Claude-3,1,1
48,P2,Claude-3,0,0
49,P2,Claude-3,0,0
50,P2,Claude-3,0,1
51,P2,Claude-3,1,1
52,P2,Claude-3,1,1
53,P2,Claude-3,1,1
54,P2,Claude-3,1,1
55,P2,Claude-3,1,1
56,P2,Claude-3,1,1
57,P2,Claude-3,1,1
58,P2,Claude-3,0,0
59,P2,Claude-3,0,0
60,P2,Claude-3,0,0
41,P2,Gemini-2,1,1
42,P2,Gemini-2,1,1
43,P2,Gemini-2,1,1
44,P2,Gemini-2,1,1
45,P2,Gemini-2,1,1
46,P2,Gemini-2,1,1
47,P2,Gemini-2,1,1
48,P2,Gemini-2,0,0
49,P2,Gemini-2,0,0
50,P2,Gemini-2,0,0
51,P2,Gemini-2,1,1
52,P2,Gemini-2,1,1
53,P2,Gemini-2,1,1
54,P2,Gemini-2,1,1
55,P2,Gemini-2,1,1
56,P2,Gemini-2,1,1
57,P2,Gemini-2,1,1
58,P2,Gemini-2,0,0
59,P2,Gemini-2,0,0
60,P2,Gemini-2,0,0
41,P2,DeepSeek,1,1
42,P2,DeepSeek,1,1
43,P2,DeepSeek,1,1
44,P2,DeepSeek,1,1
45,P2,DeepSeek,1,1
46,P2,DeepSeek,1,1
47,P2,DeepSeek,1,1
48,P2,DeepSeek,0,0
49,P2,DeepSeek,0,1
50,P2,DeepSeek,0,0
51,P2,DeepSeek,1,1
52,P2,DeepSeek,1,1
53,P2,DeepSeek,1,1
54,P2,DeepSeek,1,1
55,P2,DeepSeek,1,1
56,P2,DeepSeek,1,1
57,P2,DeepSeek,1,1
58,P2,DeepSeek,0,0
59,P2,DeepSeek,0,1
60,P2,DeepSeek,0,0
41,P3,GPT-4o,1,1
42,P3,GPT-4o,1,1
43,P3,GPT-4o,1,1
44,P3,GPT-4o,1,1
45,P3,GPT-4o,1,1
46,P3,GPT-4o,1,1
47,P3,GPT-4o,1,1
48,P3,GPT-4o,0,0
49,P3,GPT-4o,0,0
50,P3,GPT-4o,0,0
51,P3,GPT-4o,1,1
52,P3,GPT-4o,1,1
53,P3,GPT-4o,1,1
54,P3,GPT-4o,1,1
55,P3,GPT-4o,1,1
56,P3,GPT-4o,1,1
57,P3,GPT-4o,1,1
58,P3,GPT-4o,0,0
59,P3,GPT-4o,0,1
60,P3,GPT-4o,0,0
41,P3,Claude-3,1,1
42,P3,Claude-3,1,1
43,P3,Claude-3,1,1
44,P3,Claude-3,1,1
45,P3,Claude-3,1,1
46,P3,Claude-3,1,1
47,P3,Claude-3,1,1
48,P3,Claude-3,0,0
49,P3,Claude-3,0,0
50,P3,Claude-3,0,0
51,P3,Claude-3,1,1
52,P3,Claude-3,1,1
53,P3,Claude-3,1,1
54,P3,Claude-3,1,1
55,P3,Claude-3,1,1
56,P3,Claude-3,1,1
57,P3,Claude-3,1,1
58,P3,Claude-3,0,0
59,P3,Claude-3,0,0
